1513115606846, 0.07550049, 0.0748291, 0.9882202, METAWEAR, SENSOR_ACCEL
1513115606852, 0.07543945, 0.07385254, 0.9894409, METAWEAR, SENSOR_ACCEL
1513115606895, 0.0748291, 0.07543945, 0.98968506, METAWEAR, SENSOR_ACCEL
1513115606899, 0.07574463, 0.07501221, 0.99005127, METAWEAR, SENSOR_ACCEL
1513115606903, 0.0748291, 0.07476807, 0.99072266, METAWEAR, SENSOR_ACCEL
1513115606942, 0.074279785, 0.07507324, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115606945, 0.07501221, 0.07421875, 0.989624, METAWEAR, SENSOR_ACCEL
1513115606950, 0.0758667, 0.07385254, 0.9908447, METAWEAR, SENSOR_ACCEL
1513115607037, 0.07513428, 0.07513428, 0.9908447, METAWEAR, SENSOR_ACCEL
1513115607089, 0.07476807, 0.07507324, 0.9904175, METAWEAR, SENSOR_ACCEL
1513115607139, 0.07598877, 0.07513428, 0.9892578, METAWEAR, SENSOR_ACCEL
1513115607144, 0.0748291, 0.07659912, 0.9901123, METAWEAR, SENSOR_ACCEL
1513115607149, 0.075683594, 0.07550049, 0.98864746, METAWEAR, SENSOR_ACCEL
1513115607185, 0.07507324, 0.07507324, 0.9904785, METAWEAR, SENSOR_ACCEL
1513115607190, 0.07446289, 0.076171875, 0.99053955, METAWEAR, SENSOR_ACCEL
1513115607232, 0.075805664, 0.07507324, 0.9898071, METAWEAR, SENSOR_ACCEL
1513115607378, 0.07519531, 0.074157715, 0.98999023, METAWEAR, SENSOR_ACCEL
1513115607385, 0.07531738, 0.076171875, 0.99176025, METAWEAR, SENSOR_ACCEL
1513115607388, 0.07537842, 0.07556152, 0.99072266, METAWEAR, SENSOR_ACCEL
1513115607427, 0.076416016, 0.07397461, 0.99017334, METAWEAR, SENSOR_ACCEL
1513115607432, 0.07519531, 0.0758667, 0.99035645, METAWEAR, SENSOR_ACCEL
1513115607476, 0.074645996, 0.074645996, 0.9890747, METAWEAR, SENSOR_ACCEL
1513115607622, 0.07574463, 0.07397461, 0.98968506, METAWEAR, SENSOR_ACCEL
1513115607629, 0.07501221, 0.07562256, 0.9902344, METAWEAR, SENSOR_ACCEL
1513115607644, 0.07507324, 0.07550049, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115607674, 0.07556152, 0.075805664, 0.98968506, METAWEAR, SENSOR_ACCEL
1513115607680, 0.07525635, 0.074279785, 0.9891968, METAWEAR, SENSOR_ACCEL
1513115607720, 0.07550049, 0.07525635, 0.989563, METAWEAR, SENSOR_ACCEL
1513115607769, 0.07574463, 0.075683594, 0.98931885, METAWEAR, SENSOR_ACCEL
1513115607870, 0.07489014, 0.074645996, 0.9891968, METAWEAR, SENSOR_ACCEL
1513115607916, 0.07446289, 0.07421875, 0.9902344, METAWEAR, SENSOR_ACCEL
1513115607922, 0.07525635, 0.076171875, 0.9914551, METAWEAR, SENSOR_ACCEL
1513115607929, 0.0758667, 0.07446289, 0.9885254, METAWEAR, SENSOR_ACCEL
1513115607963, 0.07556152, 0.07434082, 0.9898071, METAWEAR, SENSOR_ACCEL
1513115608012, 0.07501221, 0.07531738, 0.99102783, METAWEAR, SENSOR_ACCEL
1513115608160, 0.07550049, 0.07409668, 0.9890137, METAWEAR, SENSOR_ACCEL
1513115608166, 0.07495117, 0.07385254, 0.9904175, METAWEAR, SENSOR_ACCEL
1513115608172, 0.07537842, 0.07495117, 0.9916382, METAWEAR, SENSOR_ACCEL
1513115608209, 0.0758667, 0.07507324, 0.9899292, METAWEAR, SENSOR_ACCEL
1513115608257, 0.07495117, 0.0770874, 0.9897461, METAWEAR, SENSOR_ACCEL
1513115608307, 0.07678223, 0.07543945, 0.9909668, METAWEAR, SENSOR_ACCEL
1513115608356, 0.07519531, 0.075927734, 0.98895264, METAWEAR, SENSOR_ACCEL
1513115608404, 0.074401855, 0.07489014, 0.98931885, METAWEAR, SENSOR_ACCEL
1513115608455, 0.07659912, 0.07397461, 0.98931885, METAWEAR, SENSOR_ACCEL
1513115608502, 0.076293945, 0.076416016, 0.99005127, METAWEAR, SENSOR_ACCEL
1513115608553, 0.07562256, 0.076538086, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115608600, 0.07513428, 0.07458496, 0.9887085, METAWEAR, SENSOR_ACCEL
1513115608651, 0.07525635, 0.07574463, 0.9904175, METAWEAR, SENSOR_ACCEL
1513115608698, 0.074279785, 0.076171875, 0.99053955, METAWEAR, SENSOR_ACCEL
1513115608747, 0.074401855, 0.07385254, 0.99053955, METAWEAR, SENSOR_ACCEL
1513115608796, 0.07525635, 0.073913574, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115608890, 0.075927734, 0.07623291, 0.98999023, METAWEAR, SENSOR_ACCEL
1513115608938, 0.07409668, 0.0758667, 0.9894409, METAWEAR, SENSOR_ACCEL
1513115608988, 0.074523926, 0.07446289, 0.9908447, METAWEAR, SENSOR_ACCEL
1513115609036, 0.07751465, 0.073913574, 0.9904175, METAWEAR, SENSOR_ACCEL
1513115609086, 0.07507324, 0.07519531, 0.9904785, METAWEAR, SENSOR_ACCEL
1513115609136, 0.07495117, 0.075805664, 0.9899292, METAWEAR, SENSOR_ACCEL
1513115609186, 0.074279785, 0.07550049, 0.9894409, METAWEAR, SENSOR_ACCEL
1513115609235, 0.07458496, 0.07476807, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115609328, 0.074645996, 0.075927734, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115609377, 0.07446289, 0.07366943, 0.9894409, METAWEAR, SENSOR_ACCEL
1513115609426, 0.07446289, 0.07470703, 0.9902344, METAWEAR, SENSOR_ACCEL
1513115609479, 0.07489014, 0.0769043, 0.991272, METAWEAR, SENSOR_ACCEL
