1518705260425, -0.005, 0.108, 1.051, METAWEAR, SENSOR_ACCEL
1518705260475, -0.004, 0.112, 1.051, METAWEAR, SENSOR_ACCEL
1518705260675, -0.004, 0.106, 1.051, METAWEAR, SENSOR_ACCEL
1518705260825, -0.005, 0.109, 1.05, METAWEAR, SENSOR_ACCEL
1518705260925, -0.005, 0.111, 1.052, METAWEAR, SENSOR_ACCEL
1518705261027, -0.006, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705261075, -0.003, 0.108, 1.052, METAWEAR, SENSOR_ACCEL
1518705261225, -0.004, 0.105, 1.051, METAWEAR, SENSOR_ACCEL
1518705261275, -0.005, 0.11, 1.051, METAWEAR, SENSOR_ACCEL
1518705261475, -0.007, 0.11, 1.051, METAWEAR, SENSOR_ACCEL
1518705261525, -0.008, 0.11, 1.05, METAWEAR, SENSOR_ACCEL
1518705261725, -0.004, 0.107, 1.05, METAWEAR, SENSOR_ACCEL
1518705261775, -0.005, 0.108, 1.051, METAWEAR, SENSOR_ACCEL
1518705261926, -0.006, 0.108, 1.05, METAWEAR, SENSOR_ACCEL
1518705261975, -0.006, 0.108, 1.051, METAWEAR, SENSOR_ACCEL
1518705262125, -0.004, 0.111, 1.052, METAWEAR, SENSOR_ACCEL
1518705262225, -0.004, 0.107, 1.05, METAWEAR, SENSOR_ACCEL
1518705262375, -0.004, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705262527, -0.002, 0.111, 1.051, METAWEAR, SENSOR_ACCEL
1518705262575, -0.004, 0.111, 1.051, METAWEAR, SENSOR_ACCEL
1518705262625, -0.003, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705262775, -0.005, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705262925, -0.003, 0.114, 1.052, METAWEAR, SENSOR_ACCEL
1518705262975, -0.004, 0.112, 1.052, METAWEAR, SENSOR_ACCEL
1518705263125, -0.003, 0.111, 1.051, METAWEAR, SENSOR_ACCEL
1518705263175, -0.002, 0.111, 1.052, METAWEAR, SENSOR_ACCEL
1518705263325, -0.003, 0.11, 1.051, METAWEAR, SENSOR_ACCEL
1518705263374, -0.003, 0.112, 1.051, METAWEAR, SENSOR_ACCEL
1518705263575, -0.004, 0.11, 1.051, METAWEAR, SENSOR_ACCEL
1518705263628, -0.004, 0.109, 1.052, METAWEAR, SENSOR_ACCEL
1518705263775, -0.002, 0.11, 1.052, METAWEAR, SENSOR_ACCEL
1518705263825, -0.002, 0.112, 1.051, METAWEAR, SENSOR_ACCEL
1518705263975, -0.004, 0.11, 1.052, METAWEAR, SENSOR_ACCEL
1518705264025, -0.003, 0.111, 1.051, METAWEAR, SENSOR_ACCEL
1518705264176, -0.004, 0.11, 1.052, METAWEAR, SENSOR_ACCEL
1518705264225, -0.003, 0.11, 1.051, METAWEAR, SENSOR_ACCEL
1518705264375, -0.004, 0.109, 1.052, METAWEAR, SENSOR_ACCEL
1518705264425, -0.003, 0.11, 1.052, METAWEAR, SENSOR_ACCEL
1518705264581, -0.005, 0.109, 1.05, METAWEAR, SENSOR_ACCEL
1518705264625, -0.005, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705264677, -0.003, 0.11, 1.052, METAWEAR, SENSOR_ACCEL
1518705264875, -0.004, 0.107, 1.05, METAWEAR, SENSOR_ACCEL
1518705265025, -0.008, 0.106, 1.053, METAWEAR, SENSOR_ACCEL
1518705265075, 0, 0.107, 1.052, METAWEAR, SENSOR_ACCEL
1518705265225, 0.004, 0.113, 1.054, METAWEAR, SENSOR_ACCEL
1518705265275, -0.009, 0.122, 1.049, METAWEAR, SENSOR_ACCEL
1518705265426, -0.014, 0.112, 1.047, METAWEAR, SENSOR_ACCEL
1518705265474, -0.004, 0.104, 1.054, METAWEAR, SENSOR_ACCEL
1518705265675, -0.001, 0.108, 1.051, METAWEAR, SENSOR_ACCEL
1518705265724, -0.014, 0.111, 1.051, METAWEAR, SENSOR_ACCEL
1518705265874, -0.003, 0.117, 1.052, METAWEAR, SENSOR_ACCEL
1518705265927, 0, 0.109, 1.052, METAWEAR, SENSOR_ACCEL
1518705266175, 0.009, 0.116, 1.054, METAWEAR, SENSOR_ACCEL
1518705266225, 0, 0.114, 1.05, METAWEAR, SENSOR_ACCEL
1518705266324, -0.005, 0.114, 1.051, METAWEAR, SENSOR_ACCEL
1518705266374, -0.001, 0.114, 1.052, METAWEAR, SENSOR_ACCEL
1518705266575, 0, 0.109, 1.052, METAWEAR, SENSOR_ACCEL
1518705266624, 0.006, 0.113, 1.054, METAWEAR, SENSOR_ACCEL
1518705266826, -0.006, 0.113, 1.051, METAWEAR, SENSOR_ACCEL
1518705266875, 0.001, 0.112, 1.052, METAWEAR, SENSOR_ACCEL
1518705267025, 0.003, 0.111, 1.054, METAWEAR, SENSOR_ACCEL
1518705267075, 0.003, 0.113, 1.054, METAWEAR, SENSOR_ACCEL
1518705267225, -0.004, 0.11, 1.051, METAWEAR, SENSOR_ACCEL
1518705267275, -0.003, 0.113, 1.052, METAWEAR, SENSOR_ACCEL
1518705267475, -0.005, 0.106, 1.051, METAWEAR, SENSOR_ACCEL
1518705267526, -0.003, 0.114, 1.053, METAWEAR, SENSOR_ACCEL
1518705267625, 0, 0.112, 1.052, METAWEAR, SENSOR_ACCEL
1518705267675, 0.001, 0.109, 1.053, METAWEAR, SENSOR_ACCEL
1518705267825, -0.003, 0.106, 1.049, METAWEAR, SENSOR_ACCEL
1518705267875, -0.002, 0.114, 1.051, METAWEAR, SENSOR_ACCEL
1518705267975, -0.006, 0.112, 1.052, METAWEAR, SENSOR_ACCEL
1518705268025, 0, 0.113, 1.053, METAWEAR, SENSOR_ACCEL
1518705268175, -0.005, 0.108, 1.052, METAWEAR, SENSOR_ACCEL
1518705268231, -0.004, 0.108, 1.052, METAWEAR, SENSOR_ACCEL
1518705268375, -0.006, 0.104, 1.049, METAWEAR, SENSOR_ACCEL
1518705268426, 0, 0.111, 1.05, METAWEAR, SENSOR_ACCEL
1518705268578, -0.006, 0.111, 1.05, METAWEAR, SENSOR_ACCEL
1518705268625, -0.006, 0.109, 1.052, METAWEAR, SENSOR_ACCEL
1518705268725, -0.002, 0.105, 1.05, METAWEAR, SENSOR_ACCEL
1518705268825, -0.003, 0.103, 1.051, METAWEAR, SENSOR_ACCEL
1518705268875, -0.003, 0.113, 1.052, METAWEAR, SENSOR_ACCEL
1518705269025, -0.005, 0.113, 1.05, METAWEAR, SENSOR_ACCEL
1518705269075, -0.007, 0.11, 1.051, METAWEAR, SENSOR_ACCEL
1518705269225, -0.008, 0.111, 1.052, METAWEAR, SENSOR_ACCEL
1518705269275, -0.003, 0.103, 1.055, METAWEAR, SENSOR_ACCEL
1518705269425, 0, 0.104, 1.05, METAWEAR, SENSOR_ACCEL
1518705269478, -0.005, 0.11, 1.052, METAWEAR, SENSOR_ACCEL
1518705269675, -0.007, 0.11, 1.048, METAWEAR, SENSOR_ACCEL
1518705269725, -0.001, 0.105, 1.051, METAWEAR, SENSOR_ACCEL
1518705269875, -0.001, 0.106, 1.053, METAWEAR, SENSOR_ACCEL
1518705269925, -0.006, 0.11, 1.051, METAWEAR, SENSOR_ACCEL
1518705270132, -0.003, 0.11, 1.05, METAWEAR, SENSOR_ACCEL
1518705270275, -0.002, 0.108, 1.051, METAWEAR, SENSOR_ACCEL
