1518705161718, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705161724, -0.671, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705161725, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705161727, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705161728, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705161772, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705161775, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705161822, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705161824, -0.549, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705161826, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705161867, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705161875, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705161918, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705161924, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705161926, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705161970, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705161971, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705162023, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162025, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162029, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162071, -0.61, -0.366, 0, METAWEAR, SENSOR_GYRO
1518705162086, -0.61, -0.366, 0.061, METAWEAR, SENSOR_GYRO
1518705162117, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705162121, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705162122, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162169, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705162170, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705162222, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705162226, -0.61, -0.427, 0.122, METAWEAR, SENSOR_GYRO
1518705162228, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162268, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162273, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705162318, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705162324, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162325, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
